KEY,CN,EN
GUANKA_TITLE0,练习,practice
GUANKA_TITLE1,容易,easy
GUANKA_TITLE2,二,two
GUANKA_TITLE3,2次,in 2 shots
GUANKA_TITLE4,一打,dozen
GUANKA_TITLE5,U,u
GUANKA_TITLE6,"2次,没那么容易","in 2 shots,tougher"
GUANKA_TITLE7,"一,二,三三倍","one,two,three threes"
GUANKA_TITLE8,容易的除法,easy division
GUANKA_TITLE9,平方,squared
GUANKA_TITLE10,两倍表,table of 2
GUANKA_TITLE11,94,94
GUANKA_TITLE12,2048,2048
GUANKA_TITLE13,零很重要,zero wins
GUANKA_TITLE14,镜子,mirror
GUANKA_TITLE15,"小,但...",small but...
GUANKA_TITLE16,十字路口,crossroads
GUANKA_TITLE17,三倍表,table of 3
GUANKA_TITLE18,从右到左,from right to left
GUANKA_TITLE19,一些大的,a few big ones
GUANKA_TITLE20,许多小的,lots of small ones
GUANKA_TITLE21,螺旋式,spiraled
GUANKA_TITLE22,立方,cubed
GUANKA_TITLE23,7的故事,the story of 7
GUANKA_TITLE24,金字塔,pyramid
GUANKA_TITLE25,日期,dates
GUANKA_TITLE26,表四,table of 4
GUANKA_TITLE27,有点棘手,a little tougher
GUANKA_TITLE28,休息站,rest stop
GUANKA_TITLE29,保留2,keep the 2
GUANKA_TITLE30,2乘以2,2 by 2
GUANKA_TITLE31,更难的除法,harder division
GUANKA_TITLE32,天生一对,two of a kind
GUANKA_TITLE33,波浪,wave
GUANKA_TITLE34,12名人质,12 held hostage
GUANKA_TITLE35,五五,five in five
GUANKA_TITLE36,321幂指数,"to the power of 3,2,1"
GUANKA_TITLE37,表五,table of 5
GUANKA_TITLE38,现在变得有趣了,now it gets interesting
GUANKA_TITLE39,+x/-,+x/-
GUANKA_TITLE40,移除角落,remove the corners
GUANKA_TITLE41,被一围绕,surrounded by ones
GUANKA_TITLE42,塔,the tower
GUANKA_TITLE43,从一百开始,start with a hundred
GUANKA_TITLE44,以200结束,it ends with 200
GUANKA_TITLE45,4个3X3方块,four 3x3 squares
GUANKA_TITLE46,V字形,v
GUANKA_TITLE47,表格7,table of 7
GUANKA_TITLE48,((((1+2)+3)+4)+5),((((1+2)+3)+4)+5)
GUANKA_TITLE49,很多的成对,a pile of pairs
GUANKA_TITLE50,圆周率的十分位,decimals of PI
GUANKA_TITLE51,以3为幂指数,to the power of 3
GUANKA_TITLE52,代数恒等式,algebraic identities
GUANKA_TITLE53,"总是54,但不是最后","always 54,but never last"
